recipe_id,recipe_name,step_order,step_text
SWEET_001,Pie Apple,1,Preheat the oven to 425 degrees F (220 degrees C).
SWEET_001,Pie Apple,2,"For the crust whisk the all-purpose enriched white flour, salt and sugar together. Cut in the chilled butter until the mixture resembles coarse crumbs, then add the ice water just until the dough comes together. Divide into two discs and chill for at least 30 minutes."
SWEET_001,Pie Apple,3,"Roll out one disc and line the bottom of a 9-inch pie plate. Stir the apple pie filling with the sugar, lemon juice, butter, and all-purpose enriched white flour, plus any optional cinnamon, cloves, or allspice, then spoon it into the crust."
SWEET_001,Pie Apple,4,Roll out the top crust and place it over the filling. Seal and crimp the edges then cut vents in the top crust.
SWEET_001,Pie Apple,5,Bake for 15 minutes. Lower the oven to 350 degrees F (175 degrees C) and bake 35 to 40 minutes more until the crust is golden brown and the filling is bubbling. Cool on a rack before slicing.
SWEET_002,Apple Strudel,1,Preheat the oven to 375 degrees F (190 degrees C).
SWEET_002,Apple Strudel,2,Melt the butter in a skillet and cook the bread crumbs over medium heat until lightly golden then let them cool slightly.
SWEET_002,Apple Strudel,3,"Combine the Granny Smith apples, sugar, brown sugar, raisins, lemon juice, ground cinnamon, all-purpose enriched white flour for thickening, and 1/4 cup water in a saucepan. Bring to a boil, cover and simmer for 5 minutes, then uncover and simmer until thickened."
SWEET_002,Apple Strudel,4,Toss the filling with the browned bread crumbs and let it cool enough to handle.
SWEET_002,Apple Strudel,5,Roll the puff pastry sheet on a lightly floured surface to about a 1/8 inch thick 16 by 12 inch rectangle.
SWEET_002,Apple Strudel,6,"Spread the filling along one long side of the pastry leaving a border around the edges. Brush the exposed border with beaten egg, fold the pastry over the filling, tuck in the ends, and roll into a long sealed strudel."
SWEET_002,Apple Strudel,7,Place the strudel seam-side down on a lined baking sheet and brush the top with the remaining beaten egg.
SWEET_002,Apple Strudel,8,Bake for 30 to 40 minutes until the pastry is browned and crisp and the apple filling is tender. Cool before slicing.
