recipe_id,step_order,step_text
CRUST_001,1,Whisk flour and salt together in a large bowl.
CRUST_001,2,Cut in chilled butter and shortening until the mixture resembles coarse crumbs with a few pea-sized pieces.
CRUST_001,3,"Add ice water 1 tablespoon at a time, stirring until the dough just comes together."
CRUST_001,4,"Divide dough into two equal pieces, shape each into a disc, and wrap in plastic."
CRUST_001,5,Refrigerate at least 30 minutes before rolling.
CRUST_001,6,Roll each disc on a lightly floured surface to about 1/8-inch thickness for a 9-inch pie plate.
CRUST_002,1,Whisk flour and salt together in a large bowl.
CRUST_002,2,Cut in chilled butter and shortening until the mixture resembles coarse crumbs with a few pea-sized pieces.
CRUST_002,3,"Add ice water 1 tablespoon at a time, stirring until the dough just comes together."
CRUST_002,4,"Shape into a disc, wrap in plastic, and refrigerate at least 30 minutes."
CRUST_002,5,Roll dough on a lightly floured surface to about 1/8-inch thickness and fit into a 9-inch pie plate.
CRUST_002,6,Trim and crimp the edges; chill 15 minutes.
CRUST_002,7,Line with parchment and fill with pie weights. Bake at 375 degrees F (190 degrees C) for 20 minutes. Remove weights and bake 8 to 10 minutes more until golden.
CRUST_003,1,Whisk flour and salt together in a large bowl.
CRUST_003,2,Cut in chilled butter and shortening until the mixture resembles coarse crumbs with a few pea-sized pieces.
CRUST_003,3,"Add ice water 1 tablespoon at a time, stirring until the dough just comes together."
CRUST_003,4,"Shape into a disc, wrap in plastic, and refrigerate at least 30 minutes."
CRUST_003,5,Roll dough on a lightly floured surface to about 1/8-inch thickness and fit into a 9-inch pie plate.
CRUST_003,6,Trim and crimp the edges; chill until ready to fill and bake with filling.
CRUST_004,1,Whisk flour and salt together in a large bowl.
CRUST_004,2,Cut in chilled butter and shortening until the mixture resembles coarse crumbs with a few pea-sized pieces.
CRUST_004,3,"Add ice water 1 tablespoon at a time, stirring until the dough just comes together."
CRUST_004,4,"Divide dough into two equal pieces, shape each into a disc, and wrap in plastic."
CRUST_004,5,Refrigerate at least 30 minutes before rolling.
CRUST_004,6,Roll each disc on a lightly floured surface to about 1/8-inch thickness and fit into the pie plate; chill until ready to fill and bake.
SWEET_001,1,Preheat the oven to 425 degrees F (220 degrees C).
SWEET_001,2,"For the crust whisk the flour and salt together. Cut in the chilled butter and shortening until the mixture resembles coarse crumbs, then add the ice water 1 tablespoon at a time just until the dough comes together. Divide into two discs and chill for at least 30 minutes."
SWEET_001,3,"In a large saucepan, combine the peeled and cored Granny Smith apple slices with the sugar, lemon juice, cornstarch, butter, and 1/4 cup water, plus any optional cinnamon, cloves, or allspice. Bring to a boil over medium heat, then reduce heat, cover, and simmer for 5 minutes, stirring occasionally. Uncover and simmer 5 minutes more, until the apples are slightly softened and the juices have thickened. Remove from heat and let cool while you roll out the crust."
SWEET_001,4,"Roll out one disc and line the bottom of a 9-inch pie plate. Spoon the cooled apple filling into the crust, mounding slightly in the center."
SWEET_001,5,"Roll out the second disc and cut into 1/2-inch strips. Lay the strips over the filling in a lattice pattern, weaving them over and under. Trim and crimp the edges to seal."
SWEET_001,6,Bake for 15 minutes. Lower the oven to 350 degrees F (175 degrees C) and bake 35 to 40 minutes more until the crust is golden brown and the filling is bubbling. Cool on a rack before slicing.
SWEET_002,1,Preheat the oven to 375 degrees F (190 degrees C).
SWEET_002,2,"Melt the butter in a skillet and cook the bread crumbs over medium heat until lightly golden, then let them cool slightly."
SWEET_002,3,"Combine apples, sugar, brown sugar, raisins, lemon juice, cinnamon, flour and 1/4 cup water in a sauce pan and bring to a boil. Cover and simmer for 5 minutes, stir occasionally, then uncover and simmer until thickened, about 5 minutes. The added water should evaporate."
SWEET_002,4,Roll the puff pastry to a 1/8 inch sheet or 16x12 rectangle on a lightly floured surface.
SWEET_002,5,"Sprinkle the browned bread crumbs along one long side of the pastry several inches in, leaving a border on the sides so the roll can be sealed; the crumbs absorb juices and keep the bottom from going soggy."
SWEET_002,6,Spoon the cooled filling on top of the bread crumbs.
SWEET_002,7,Brush the exposed border with beaten egg. Fold the long end halfway over the filling then fold in the short ends. Continue rolling the pastry around the filling into a long strudel and seal the edge with egg. Tuck ends under. Place it seam-side down on a lined baking sheet. Brush with the remaining egg.
SWEET_002,8,Bake for about 30-40 minutes or until the pastry is browned and crisp and the apple filling is tender. Cool before slicing.
SWEET_003,1,Preheat the oven to 425 degrees F (220 degrees C).
SWEET_003,2,"For the crust whisk the flour and salt together. Cut in the chilled butter until the mixture resembles coarse crumbs, then add the ice water 1 tablespoon at a time just until the dough comes together. Form into a disc and chill for at least 30 minutes."
SWEET_003,3,"Roll the chilled dough into a 12-inch circle and fit into a 9-inch pie plate, trimming and crimping the edges. Line with parchment, fill with pie weights or dried beans, and blind-bake for 15 minutes. Remove the weights and bake 8-10 minutes more, until the crust is golden brown. Cool completely on a rack."
SWEET_003,4,"For the pastry cream, whisk the sugar, cornstarch, and salt together in a heavy saucepan. Whisk in the milk a little at a time to keep the cornstarch smooth. Bring to a boil over medium heat, whisking constantly, until thick and bubbling, about 5-7 minutes. Boil 1 minute more, still whisking."
SWEET_003,5,"Whisk a ladleful of the hot mixture into the egg yolks to temper, then whisk the tempered yolks back into the saucepan. Cook over medium-low heat, whisking constantly, for 2 more minutes until very thick. Remove from heat and whisk in the butter and vanilla until smooth."
SWEET_003,6,"Spread half of the warm pastry cream over the cooled crust. Layer the sliced bananas evenly on top, then spread the remaining pastry cream over the bananas. Press plastic wrap directly onto the surface to prevent a skin from forming."
